id,category,name,owner,contact,address,city,cityCode,phone,noRooms,noBeds,attribute
40,"*","Winrooms Seminar Hotel & Apartments","-","-","Wiener Straße - Werkstraße 115/1.1.B2","Wiener","2700","-",14,65,""
41,"*","Gasthof Staudach","-","-","Walcherbauer 5","Hollenstein","3343","-",44,266,""
42,"*","Ferienwohnungen","-","-","Hirschengasse 4-8","Kritzendorf","3420","-",39,135,""
43,"****","Jagdhof Hotel","-","-","Weitental 34","Lackenhof","3295","-",10,8,""
44,"****","Hotel Sacher Baden","-","-","Helenenstraße 55","Baden","2500","-",51,51,""
45,"*","I´m Inn Wieselburg","-","-","2 Volksfestplatz","Wieselburg","3250","-",47,53,""
46,"**","OEKOTEL Treffpunkt Föhrenhain","-","-","Brünnerstraße 127","Föhrenhain","2201","-",17,66,""
47,"***","JUFA Hotel Hochkar","-","-","Lassing 49","Göstling","3345","-",35,45,""
48,"****","Hotel Schrannenhof","-","-","Niedermarkt 17-19","Klosterneuburg","3400","-",25,38,""
49,"**","Pension Babenberger","-","-","Linzer Straße 18","Melk","3390","-",25,39,""
50,"***","JUFA Hotel Annaberg","-","-","Annarotte","Annaberg","3222","-",33,122,""
51,"**","Landhaus Weinblick","-","-","Hans Heppenheimerstrasse 4","Rohrendorf","3495","-",31,34,""
52,"**","Landgasthof Sommer Pension","-","-","Deutschwaldstraße 10","Purkersdorf","3002","-",33,33,""
53,"***","Weingut-Pension Stockingerhof","-","-","Dürnstein 240","Dürnstein","3601","-",55,62,""
54,"*","Kaiserrast","-","-","Donaukraftwerkstraße 1","Stockerau","2000","-",38,30,""
55,"***","Schloss Haindorf","-","-","Krumpöckallee 21","Langenlois","3550","-",43,213,""
56,"***","Cleverhotel","-","-","Hotelstraße 2 / St. Pöltner Straße 120","Herzogenburg","3130","-",21,40,""
57,"*****","Motel 267","-","-","Stifterstrasse 1","St.","3100","-",50,57,""
58,"****","Eventhotel Pyramide","-","-","Parkallee 2","Vösendorf","2334","-",13,11,""
59,"*","Hirschenwirt","-","-","Nölling 6 Gasthof Restaurant","Schönbühel","3392","-",85,250,""
60,"****","Hotel Herzoghof","-","-","Kaiser-Franz-Ring 10","Baden","2500","-",39,21,""
61,"*","Aparthotel","-","-","Annarotte 8","Annaberg","3222","-",49,228,""
62,"***","Sporthotel am Semmering","-","-","Carolusstraße 10","Semmering","2680","-",42,112,""
63,"**","Hotel Tullnerfeld","-","-","Überländstraße 4","Tulln","3442","-",55,118,""
64,"***","BS-Ötscher Hotel","-","-","Ötscherwiese 7","Lackenhof","3295","-",38,85,""
65,"***","Ibis Vienna Airport","-","-","Raststation S1","Schwechat","2320","-",67,102,""
66,"***","Hotel zum goldenen Hirschen","-","-","Göstling 16","Göstling","3345","-",20,11,""
67,"***","Hotel garni Steinfeld","-","-","Nikolaus-August-Otto-Straße 4","Wiener","2700","-",79,100,""
68,"**","Bioweingut Schmidl","-","-","144 Dürnstein","Dürnstein","3601","-",4,13,""
69,"***","City Hotel Albrecht","-","-","Wiener Straße 25","Schwechat","2320","-",24,72,""
70,"****","Linsberg Asia Hotel, Spa & Therme - Adults Only","-","-","Thermenplatz 1","Bad","2822","-",22,11,""
71,"***","Zum Dorfmeister Wirt","-","-","Hauptstraße 8","Weikersdorf","2722","-",46,37,""
72,"***","Wachauerhof","-","-","Wiener Straße 30","Melk","3390","-",97,184,""
73,"****","Lifestyle Hotel Leithana","-","-","Parkbadstraße 6","Bruck","2460","-",35,36,""
74,"**","Hotel Smart Liv'in","-","-","Reith 64","Böheimkirchen","3071","-",3,2,""
75,"**","Topmotel","-","-","Oberegging 7a","Oberegging","3254","-",53,31,""
76,"**","Winzerhof Familie Bogner","-","-","Obere Hauptstraße 24","Rohrendorf","3495","-",30,87,""
77,"***","Hotel Marc Aurel","-","-","Hauptstraße 10","Petronell","2404","-",18,15,""
78,"***","FairSleep Motel Hainburg","-","-","Pressburger Reichsstr. 70","Hainburg","2410","-",29,92,""
79,"*","OEKOTEL Traiskirchen","-","-","Hochmühlstrasse 5.","Traiskirchen","2514","-",11,62,""
80,"***","LifeHotel Vienna Airport","-","-","Marco-Polo-Straße 1/Marcotelstraße 1","Fischamend","2401","-",7,8,""
81,"*","Rathauskeller Melk","-","-","Rathausplatz 13","Melk","3390","-",28,54,""
82,"*","Boutiquehotel Stefanie","-","-","Jägermayerstraße 2","Bad","2540","-",3,19,""
83,"**","Landgasthof zum Goldenen Hirschen","-","-","Landstraße 51","Bierbaum","3462","-",31,131,""
84,"*","Vierzigerhof","-","-","Rudolfstraße 11","Langenlois","3550","-",25,7,""
85,"***","Hotel-Restaurant Moser Pöchlarn","-","-","Bahnhofsplatz 3","Pöchlarn","3380","-",71,239,""
86,"*","Privatzimmer Johannes","-","-","Landeggerstrasse 4","Neufeld","2491","-",49,437,""
87,"****","Hotel Metropol","-","-","Schillerplatz 1","St.","3100","-",22,60,""
88,"***","Hotel Vösenhuber","-","-","Hauptstrasse 20","Ernsthofen","4432","-",1,1,""
89,"***","Hotel Leobersdorfer Hof","-","-","Umlauffgasse 2","Leobersdorf","2544","-",40,212,""
90,"*","Pension zum Meridianstein","-","-","Schremser Strasse 40","Gmünd","3950","-",20,31,""
91,"****","Kayserhof","-","-","1 Neidlinger Straße","Karlstetten","3121","-",15,51,""
92,"**","Hotel Babenbergerhof","-","-","Babenbergergasse 6","Mödling","2340","-",51,256,""
93,"****","Hotel Admiral am Kurpark","-","-","Renngasse 8","Baden","2500","-",69,5,""
94,"***","Hotel Restaurant Schwartz","-","-","Bahnstraße 70","Breitenau","2624","-",9,10,""
95,"***","Gasthof Weißes Rössl","-","-","Markt 17","Mühldorf","3622","-",38,88,""
96,"**","Ferienwohnung","-","-","Doktor-Max-Burckhard-Ring 28/13","Korneuburg","2100","-",17,16,""
97,"***","Hotel Anker","-","-","Niedermarkt 5","Klosterneuburg","3400","-",68,84,""
98,"**","Hotel Mandl","-","-","Ötscherweg 2","Lackenhof","3295","-",8,52,""
99,"***","Hotel Maria","-","-","Weinbergweg 19-21","Gramatneusiedl","2440","-",6,1,""
100,"*","Good Rooms GmbH Guntramsdorf","-","-","Guttmannstraße 1","Guntramsdorf","2353","-",35,183,""
101,"***","Hotel Restaurant Böck Roter Hahn","-","-","Teufelhoferstraße 26","St.","3100","-",2,3,""
102,"**","Wallseerhof","-","-","Alte Schulstraße 12","Wallsee","3313","-",71,495,""
103,"****","Das Römerhof","-","-","Hafenstraße 3","Tulln","3430","-",36,45,""
104,"***","Renona Rehabilitation","-","-","Carolusstraße 9","Semmering","2680","-",7,2,""
105,"****","Tennis Golf Hotel Höllrigl","-","-","Hauptstraße 29","Kottingbrunn","2542","-",2,5,""
106,"*","Waldpension Stachl","-","-","Rosenbrunn  13","Bromberg","2802","-",16,42,""
107,"**","Frühstückshaus Wunderland","-","-","Staatsbahnstraße 57","Laa","2136","-",42,173,""
108,"*","Hotel Gabrium","-","-","Grenzgasse 111","Maria","2340","-",26,40,""
109,"***","Hotel Restaurant Stöckl","-","-","Hauptplatz 3","Bad","2405","-",33,162,""
110,"****","Hotel Veltlin","-","-","Am Golfplatz 9","Poysdorf","2170","-",58,74,""
111,"****","Weinresidenz Sonnleitner","-","-","Zeughausgasse 239","Furth","3511","-",8,11,""
112,"**","Gästezimmer by Jöchlinger","-","-","Leopoldauer Straße 7","Gerasdorf","2201","-",41,92,""
113,"**","Pension Weisses Lamm","-","-","Linzer Straße 7","Melk","3390","-",43,123,""
114,"*","Landgasthof Winklehner","-","-","Ringstraße 14","Sankt","4303","-",37,128,""
115,"*","Gästehaus Krause","-","-","Lindengasse 7","Trumau","2521","-",78,68,""
116,"**","Pension Parzer Pressbaum bei Wien","-","-","Hauptstraße 96","Pressbaum","3021","-",64,69,""
117,"****","Donauhof - Hotel garni","-","-","Donaugasse 298","Weißenkirchen","3610","-",34,66,""
118,"****","Hotel Exel","-","-","Alte Zeile 14","Amstetten","3300","-",31,55,""
119,"***","Gasthof zur Donaubrücke","-","-","Tiefenbach 1","Ardagger","3321","-",7,20,""
120,"***","Hotel Ulrike","-","-","Rote Torgasse 15","Spitz","3620","-",2,5,""
121,"*","Gasthof Alpenblick","-","-","Kollmitzberg 3","Amstetten","3321","-",18,58,""
122,"*","Hubertushof Fromwald","-","-","Wiener Neustädter Straße 20","Bad","2721","-",41,152,""
123,"****","Hotel Fahrnberger","-","-","Lassing 19","Göstling","3345","-",54,122,""
124,"****","Der Reisinger am Neufelder See","-","-","Eisenstädter Straße 35","Neufeld","2491","-",63,321,""
125,"***","Hotel-Gasthof Graf","-","-","Bahnhofplatz 7","St.","3100","-",43,91,""
126,"***","Hotel Restaurant Wallner","-","-","Westbahnstraße 58","Sankt","4300","-",2,4,""
127,"***","MSC Hotel","-","-","Schwarzottstraße 2a","Neunkirchen","2620","-",58,479,""
128,"**","Pension Christine","-","-","Schmidastrasse 1","Großweikersdorf","3701","-",18,28,""
129,"**","Pension Zuser","-","-","Hauptstrasse 12","Mitterbach","3224","-",6,26,""
130,"***","Hotel zur Post","-","-","Westbahnstr. 36","Sankt","4300","-",16,49,""
131,"****","Hotel Nibelungenhof","-","-","Donaulände 34","Tulln","3430","-",21,72,""
132,"**","Villa Neuwirth","-","-","Hadersfelderstraße 11","Greifenstein","3422","-",32,99,""
133,"***","Hoteldorf Königsleitn Waldviertel","-","-","Buchenstraße 1","Litschau","3874","-",64,236,""
134,"*","Hotel Garni Neudörfl","-","-","Kranawettgasse 23","Neudörfl","7201","-",43,63,""
135,"****","Best Western Smart Hotel","-","-","Nordring 4","Vösendorf","2334","-",18,9,""
136,"*","Gasthof Roderich Hotel","-","-","Wienerstrasse 59","Langenzersdorf","2103","-",17,73,""
137,"**","JoSchi Almgasthof Hochkar","-","-","Lassing 47","Hochkar","3345","-",5,24,""
138,"***","Hotel Pension Alte Mühle","-","-","Mühlengasse 36","Klosterneuburg","3400","-",13,15,""
139,"*","Sleepin Premium Motel Loosdorf","-","-","Gewerbestrasse 12","Loosdorf","3382","-",54,304,""
140,"***","Pension Café Restaurant Löffler","-","-","Hochstraße 20","Semmering","2680","-",30,105,""
141,"**","Hotel Kaiser Franz Josef","-","-","Rohr im Gebirge 2","Rohr","2663","-",23,12,""
142,"***","Stadthotel Waidhofen an der Thaya","-","-","Hauptplatz 25","Waidhofen","3830","-",35,25,""
143,"***","Gasthof Hotel Schiffsmeisterhaus","-","-","Markt 60","Ardagger","3321","-",20,9,""
144,"*","Babenbergerhof","-","-","Wiener Straße 10","Ybbs","3370","-",29,18,""
145,"*","Winzerhof Küssler - Weinviertel","-","-","Haspelgasse 98","Stillfried","2262","-",55,6,""
146,"****","Pension Central Semmering","-","-","Passstraße 1","Semmering","2680","-",21,89,""
147,"***","Aurelius Pension","-","-","Albrechtsgasse 28","Baden","2500","-",18,128,""
148,"****","Landhotel Moshammer","-","-","Kirchenplatz 3","Waidhofen","3340","-",44,141,""
149,"*","Gasthof Mitter","-","-","Linzer Straße 11","Haag","3350","-",79,260,""
150,"***","Hotel Radlinger","-","-","Lanzendorfer Str. 10","Pellendorf","2325","-",58,107,""
151,"*","Motel Verde","-","-","Triester Straße 2","Schönau","2525","-",43,227,""
152,"****","Hotel Restaurant zur Post","-","-","Linzer Straße 1","Melk","3390","-",14,30,""
153,"**","Wolfsberghof","-","-","Wolfsbergstraße 5","Angern","3506","-",8,44,""
154,"*","Pension Leichtfried","-","-","Hamerlingstraße 4","Amstetten","3300","-",53,377,""
155,"****","Hotel Turmhof","-","-","Josef-Schöffel-Straße 9","Gumpoldskirchen","2352","-",22,104,""
156,"*","Konditorei Müssauer","-","-","Böhmgasse 19","Waidhofen","3830","-",12,15,""
157,"**","Madar Café Restaurant zum Fürsten","-","-","Rathausplatz 3","Melk","3390","-",4,9,""
158,"**","Pension zum Strell","-","-","Bundesstrasse 59","Hollabrunn","2020","-",11,46,""
159,"**","Biobauernhof Poidlbauer","-","-","Konigsberg 21","Göstling","3345","-",26,215,""
160,"*****","Gasthof Kremslehner","-","-","Austraße 1","Stephanshart","3321","-",2,13,""
161,"**","Smart Motel","-","-","Andrea Scherney Straße 708 / Ecke Wiener Straße 113","Gars","3571","-",21,67,""
162,"***","Das Himberg","-","-","Gutenhofer Straße 8","Himberg","2325","-",41,110,""
163,"*****","Ferienhaus","-","-","Ybbssteinbach 61","Göstling","3345","-",57,85,""
164,"**","Der Winzerhof","-","-","Mühlgasse 14","Achau","2481","-",10,68,""
165,"****","Renaissancehotel Raffelsberger Hof B&B","-","-","Weißenkirchen 54","Weißenkirchen","3610","-",5,11,""
166,"***","Gasthof Schmölz","-","-","Hauptstraße 23","Sankt","3051","-",11,34,""
167,"**","Grafenegg Cottages","-","-","Schloss Grafenegg","Grafenegg","3485","-",26,77,""
168,"***","Hotel-Restaurant Schweinberger","-","-","Hauptstraße 6","Stetten","2100","-",43,23,""
169,"****","Genießerhof Haimer","-","-","Körnergasse 14","Poysdorf","2170","-",36,15,""
170,"*","Winzerhof - Gästehaus Stöger","-","-","Dürnstein 57","Dürnstein","3601","-",13,103,""
171,"****","Familie Hopfeld - Hotel Dreikönigshof","-","-","Hauptstraße 29-31","Stockerau","2000","-",10,16,""
172,"**","Gasthof zum Hammer","-","-","Stixenlehen 27","Göstling","3345","-",37,115,""
173,"**","HB1 Budget Hotel","-","-","Industriezentrum NÖ Süd","Wiener","2355","-",50,165,""
174,"***","Hotel Vöslauerhof","-","-","Bahnstraße 19","Bad","2540","-",32,65,""
175,"***","Gasthof zur Stadt Horn Hotel Blie seit 1866","-","-","Robert-Hamerling-Straße 17","Horn","3580","-",10,45,""
176,"****","Golfresort Haugschlag","-","-","Haugschlag 160","Haugschlag","3874","-",36,72,""
177,"**","Weingut und Gästehaus Berger","-","-","Weinbergstraße 2","Gedersdorf","3494","-",66,41,""
178,"**","Landzeit Motor-Hotel St. Valentin","-","-","Rasthausstraße 6","Sankt","4300","-",7,45,""
179,"*","Gasthof Mang","-","-","Herrengasse 8","Ybbs","3370","-",2,5,""
180,"*","Wildenauer's","-","-","Laxenburgerstraße 1","Biedermannsdorf","2362","-",2,7,""
181,"*","Zeidelhof","-","-","Jungherrntal 1","Lilienfeld","3180","-",28,99,""
182,"***","Landhotel Donautalblick","-","-","Kirchengasse 7","Artstetten","3661","-",12,48,""
183,"**","Gästehaus zur schönen Aussicht","-","-","Siedlung Erlahof 47","Spitz","3620","-",24,69,""
184,"****","Klaus im Weinviertel","-","-","Julius-Bittner-Platz 4","Wolkersdorf","2120","-",50,99,""
185,"**","Pension Irmer","-","-","7 Ötscherlandstraße","Gaming","3292","-",14,10,""
186,"*","Der Knappenhof - Hotel & Restaurant","-","-","Kleinau 34","Reichenau","2651","-",2,3,""
187,"**","Gasthof Polly","-","-","Linzerstrasse 1","Haunoldstein","3384","-",16,55,""
188,"**","Gasthof Kaiser","-","-","17 Sarlingstrasse","Ybbs","3374","-",40,94,""
189,"*","Weingut Obenaus","-","-","Lange Zeile 24","Glaubendorf","3704","-",48,48,""
190,"****","Hotel-Restaurant Liebnitzmühle","-","-","Liebnitz Nr. 38","Raabs","3820","-",7,63,""
191,"****","die Weinlodge","-","-","Winzerstraße 52","Martinsdorf","2223","-",35,113,""
192,"**","Schlosstaverne Lunz","-","-","Seehof 2","Lunz","3293","-",55,154,""
193,"**","Cafe Jakob","-","-","Ebnerstraße 3","Traisen","3160","-",1,5,""
194,"****","Hotel Beethoven","-","-","Beethovengasse 8","Hinterbrühl","2371","-",51,31,""
195,"****","Das Schloss an der Eisenstrasse","-","-","Am Schlossplatz 1","Waidhofen","3340","-",60,283,""
196,"*","Romantik im südlichen Waldviertel","-","-","Kehrbach 14","Kehrbach","3662","-",50,10,""
197,"*","Villa","-","-","Haugschlag 146","Litschau","3874","-",49,196,""
198,"*","A1 Motel","-","-","Betriebsgebiet I / 4","Inning","3383","-",67,85,""
199,"**","Hotel Elia","-","-","Triester Straße 77","Guntramsdorf","2353","-",29,191,""
200,"**","Pension Müller Gartner","-","-","Rathausstrasse 18","Groß-Enzersdorf","2301","-",17,120,""
201,"**","Chalets","-","-","Kirchengasse 18","Schönau","2525","-",11,26,""
202,"*","Pension Haus Böhm","-","-","Badgasse 52","Gumpoldskirchen","2352","-",6,12,""
203,"*","Gasthof Rossatz 8","-","-","Rossatz 8","Rossatz","3602","-",11,31,""
204,"**","WEINBLICK Grafinger","-","-","74 Priel","Senftenberg","3541","-",46,11,""
205,"*","Gasthof Schabschneider","-","-","Hauptstraße 1","Neulengbach","3040","-",38,41,""
206,"****","Landhaus Stift Ardagger","-","-","Ardagger Stift 3","Ardagger","3321","-",13,19,""
207,"***","Fischwirtshaus Landmotel Die Donaurast","-","-","Wachaustraße 28","Persenbeug","3680","-",84,19,""
208,"**","Gasthof Dangl","-","-","Dunkelsteiner Str. 7","Wimpassing","3386","-",27,1,""
209,"***","Hotel Blümchen","-","-","Am Belling 2","Lackenhof","3295","-",25,52,""
210,"***","Gasthof Großmann","-","-","Stadtplatz 9","Heidenreichstein","3860","-",39,88,""
211,"**","Pension Mariahilfberg","-","-","39 Längapiesting Mariahilfberg","Gutenstein","2770","-",18,24,""
212,"**","Perbersdorfer Heuriger","-","-","Perbersdorf 14","Neuhofen","3364","-",47,154,""
213,"**","Landgasthof Fally","-","-","Ödenkirchenstraße 7","Kirchberg","2880","-",39,49,""
214,"****","Diamond Resort","-","-","Am Golfplatz 1","Atzenbrugg","3452","-",52,160,""
215,"****","Schüttkasten Waldviertel und Kunst & Kultur Seminarhotel Geras","-","-","Vorstadt 11","Geras","2093","-",33,28,""
216,"*","Stadthotel Eggenburg","-","-","Kremserstraße 8","Eggenburg","3730","-",2,2,""
217,"***","Schliefauhof","-","-","Schliefau 19","Randegg","3263","-",75,416,""
218,"*","Landgasthof Steinmühl Hofbauer KG","-","-","Maisberg 42","Waidhofen","3341","-",14,36,""
219,"**","Wein4tler-Motel","-","-","Industriestrasse 13","Gänserndorf","2230","-",11,55,""
220,"***","Gasthof Kirchenwirt","-","-","Kirchenplatz 4","Lackenhof","3295","-",47,159,""
221,"*","Weingut Martinshof","-","-","Hauptstraße 28","Sankt","2183","-",19,32,""
222,"*","Klinglhuber Suites","-","-","Hohensteinstrasse 5 (Check in: Hotel Klinglhuber)","Krems","3500","-",24,14,""
223,"***","Genießergasthof Kutscherklause","-","-","Marktplatz 4","Eggern","3861","-",17,14,""
224,"**","Hotel Restaurant FIDI","-","-","Sportplatzweg 11","Wolfsthal","2412","-",31,77,""
225,"****","Hotel Restaurant Öhlknechthof","-","-","Prager Straße 3-5","Horn","3580","-",24,10,""
226,"***","Seminarhotel Göttlesbrunn","-","-","A4 Ostautobahn","Göttlesbrunn","2464","-",34,163,""
227,"***","Schloss Hotel Zeillern","-","-","Schloss Straße 1","Zeillern","3311","-",9,23,""
228,"**","Freigut Thallern","-","-","Thallern 1","Gumpoldskirchen","2352","-",22,81,""
229,"**","Gasthaus Schmid","-","-","Schlossbergstrasse 20","Sitzenberg","3454","-",35,82,""
230,"***","Amethysthotel Mantler","-","-","Am Berg 44 / An der Horner Bundesstraße","Maissau","3712","-",29,152,""
231,"*","Hotel Perchtoldsdorf","-","-","Neustiftgasse 15","Perchtoldsdorf","2380","-",2,10,""
232,"***","Hotel Rosner","-","-","Linzerstraße 95","Gablitz","3003","-",15,97,""
233,"****","Hotel Residenz Hössinger","-","-","Dunkelsteinerstr. 13","Neidling","3110","-",47,71,""
234,"**","R&R Residenzen Hotel","-","-","Schwurwiesenweg 1","Mitterbach","3224","-",7,27,""
235,"*","Hotel Goldene Krone","-","-","Oberhoferstraße 15","Mistelbach","2130","-",21,122,""
236,"*","Pension Laa Natura","-","-","Joseph Lanner-Gasse 22","Laa","2136","-",2,6,""
237,"**","Weinhotel Rieder","-","-","Unterer Markt 2","Poysdorf","2170","-",12,9,""
238,"**","Apartment mit Badeseezugang","-","-","Pestalozzigasse 12","Hennersdorf","2332","-",31,193,""
239,"**","Gasthaus Schwarzer Adler","-","-","Donaustrasse 16","Altenberg","3422","-",46,120,""
240,"****","Romantik Hotel Goldener Stern","-","-","Stadtplatz 15","Gmünd","3950","-",13,75,""
241,"***","JUFA Weinviertel Hotel in der Eselsmühle","-","-","Seefeld 59-60","Seefeld-Kadolz","2062","-",54,114,""
242,"*****","Gasthof Linde Strohmaier","-","-","Hauptplatz 4","Hofstetten","3202","-",3,4,""
243,"**","Zimmer im Weinviertel","-","-","Prof. Knesl-Platz 11","Bad","2222","-",46,200,""
244,"*","Gasthof Diewald","-","-","Raach 38","Raach","2640","-",21,108,""
245,"*","Gasthof zur Post","-","-","Annarotte 20","Annaberg","3222","-",34,136,""
246,"*","Villen","-","-","Passtraße 12","Semmering","2680","-",55,147,""
247,"***","Gasthof Zum Niederhaus - Familie Perthold","-","-","Markt 9","Sankt","3193","-",17,10,""
248,"****","Landgasthof Hotel Muhr","-","-","Dreifaltigkeitsplatz 2","Gallbrunn","2463","-",47,201,""
249,"***","Schloss Gumpoldskirchen","-","-","Kirchenplatz 4","Gumpoldskirchen","2352","-",39,96,""
250,"*","Gästehaus Hofer","-","-","Neustiftgasse 4","Gumpoldskirchen","2352","-",25,8,""
251,"***","Hotel Zur Schonenburg","-","-","Hauptstr. 38","Schönberg","3562","-",76,271,""
252,"**","Gästehaus Egger","-","-","Donaustraße 2","Emmersdorf","3644","-",60,116,""
253,"****","Schlosspark Mauerbach","-","-","Herzog-Friedrich-Platz 1","Mauerbach","3001","-",41,12,""
254,"****","Alpenhotel Gösing","-","-","Gösing 4","Gösing","3221","-",29,58,""
255,"*","Gästezimmer Mugosa","-","-","Hauptstrasse 8","Pottendorf","2486","-",75,1,""
256,"****","Böswarth Seminarhotel Lengbachhof","-","-","Steinhäusl 8","Altlengbach","3033","-",9,108,""
257,"****","Hotel Schachner Krone und Kaiserhof","-","-","Maria Taferl 24","Maria","3672","-",51,287,""
258,"**","Hotel Helenenstüberl","-","-","55 Schwechatbach","Alland","2534","-",24,56,""
259,"*","Dorferhof","-","-","Zauchatal 27","Weistrach","3351","-",8,15,""
260,"*","Traubengarten Winkler","-","-","Untere Hauptstraße 28","Niederhollabrunn","2004","-",42,56,""
261,"**","Hotel Khail","-","-","Himberger Straße 15","Maria","2326","-",29,144,""
262,"*****","Vita Ristorante Gasthof","-","-","Peygarten-Ottenstein 8","Rastenfeld","3532","-",49,31,""
263,"**","Weingut Langmayer","-","-","Kirchengasse 62","Wösendorf","3610","-",10,51,""
264,"****","Seminar-Park-Hotel Hirschwang","-","-","Trautenberg-Straße 1","Reichenau","2651","-",57,97,""
265,"*","Stressless","-","-","Holzer 1","Traisen","3160","-",29,94,""
266,"**","Kaffee/Pension Eigl/Müssauer","-","-","Stadtplatz 66","Litschau","3874","-",21,22,""
267,"**","Schloss Ernegg","-","-","Steinakirchen am Forst","Steinakirchen","3261","-",41,2,""
268,"****","Wienerwaldhof Rieger","-","-","Strohzogl 67","Tullnerbach-Lawies","3011","-",25,83,""
269,"****","Wellness Wanderhotel Wanzenböck","-","-","Paradiesweg 4","Puchberg","2734","-",46,300,""
270,"*","Weingut Wagner","-","-","Leodagger 8","Leodagger","3741","-",19,90,""
271,"*","Pension Gschaider","-","-","Schlöglmühl 13","Payerbach","2640","-",29,41,""
272,"**","Frühstückspension Kammerer","-","-","Linzerstraße 8","Kleinpöchlarn","3660","-",35,21,""
273,"***","Gasthof-Pension Nordwald","-","-","Hirschenwies 32","Hirschenwies","3970","-",47,358,""
274,"*","Gästehaus & Heuriger Turm Wachau","-","-","Burg 140","Weißenkirchen","3610","-",40,148,""
275,"*","Landgasthof Barenwirt","-","-","Ybbser Strasse 3","Petzenkirchen","3252","-",32,25,""
276,"****","Faulenzerhotel","-","-","Friedersbach 53","Friedersbach","3533","-",24,89,""
277,"***","Hotel Payerbacherhof","-","-","Hauptstraße 2","Payerbach","2650","-",22,60,""
278,"****","Hotel Marienhof Reichenau","-","-","Hauptstraße 71-73","Reichenau","2651","-",24,9,""
279,"*","Sinsamreith","-","-","Lassing 4","Grossegg","3345","-",20,5,""
280,"**","Tour-Motel","-","-","Wienerstraße 96","Wilfersdorf","2193","-",12,54,""
281,"**","Chalet","-","-","Am Stein 21","Engabrunn","3492","-",20,54,""
282,"*","Gästepension Sport 71","-","-","Lassallestrasse 71","Strasshof","2231","-",12,49,""
283,"****","Hotel Schloss Mailberg","-","-","Mailberg 1","Mailberg","2024","-",8,18,""
284,"**","Gasthof Speneder","-","-","Altpölla 28","Altpölla","3593","-",65,23,""
285,"*","Hotel Caldor","-","-","Achauerstraße 3","Münchendorf","2482","-",52,59,""
286,"***","Restaurant Pension Seewolf","-","-","Edlesberg 15","Gutenbrunn","3665","-",62,279,""
287,"*","Autobahnrestaurant & Motorhotel Zöbern","-","-","A2 Südautobahn/Oldtimerweg 1/Maierhöfen 30","Zöbern","2870","-",26,76,""
